,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
32100,LES CHEMINS D'ESPERANCE,55-57 RUE VIOLET,75015,Paris 15e  Arrondissement,20-094617-1,2021-02-01T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.846341,2.292075
32105,PHO 13 GASTRONOMIE,66 AV D IVRY,75013,Paris 13e  Arrondissement,21-017867-1,2021-03-01T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.82435,2.364015
32107,AYOTHAYA,8 RUE TIPHAINE,75015,Paris 15e  Arrondissement,20-085507-1,2020-12-03T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.849166,2.295151
32116,DAMASQUINO,103 RUE SAINT MAUR,75011,Paris 11e  Arrondissement,21-070976-1,2021-09-07T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.865355,2.377456
32120,SAS GEK,176 RUE DE LA CONVENTION,75015,Paris 15e  Arrondissement,21-058342-1,2021-07-20T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.838203,2.294014
32125,ITO SUSHI,2 RUE ADOLPHE MILLE,75019,Paris 19e  Arrondissement,21-068693-1,2021-08-13T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.888194,2.389178
32128,REVE DISTRIBUTION,21 RUE DU DEPARTEMENT,75018,Paris 18e  Arrondissement,21-064948-1,2021-05-21T02:00:00+02:00,Libre service,Très satisfaisant,,Libre service,48.885539,2.365661
32137,OBER MAMMA,107 BD RICHARD LENOIR,75011,Paris 11e  Arrondissement,21-075363-1,2021-09-20T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.86446,2.370183
32140,MAISON HUANG,5 RUE DE L ECHIQUIER,75010,Paris 10e  Arrondissement,20-088681-1,2020-12-11T01:00:00+01:00,Libre service,Satisfaisant,,Libre service,48.871028,2.35269
32149,KANAZAWA,75 RUE DE LA ROQUETTE,75011,Paris 11e  Arrondissement,21-039272-1,2021-05-20T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.856659,2.377322
32151,ANAMAXE,120 AV DE FRANCE,75013,Paris 13e  Arrondissement,21-067974-1,2021-08-26T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.831118,2.37653
32184,FIVE GUYS,39-41 RUE DES PIROGUES DE BERCY,75012,Paris 12e  Arrondissement,21-021048-1,2021-03-11T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.833153,2.387358
